name,portrait_file,prompt
Bernadette,bernadette.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Bernadette | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""Get them Squibby!"" | Scene/backdrop: subtle environment hint inspired by: ""Get them Squibby!"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Reese,reese.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Reese | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Adventurer | Scene/backdrop: subtle environment hint matching Adventurer, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Moss,moss.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Moss | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""Moss just ran in..."" | Scene/backdrop: subtle environment hint inspired by: ""Moss just ran in..."" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Gavailey,gavailey.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Gavailey | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Dwarf aligned with Adventurer | Scene/backdrop: subtle environment hint matching Adventurer, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
"Abaddon, Hopeless assistant",abaddon-hopeless-assistant.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Abaddon, Hopeless assistant | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""If we can deal with the abolyth and the lich at the same time then by my calculations we should still make it to our pottery class"" | Scene/backdrop: subtle environment hint inspired by: ""If we can deal with the abolyth and the lich at the same time then by my calculations we should still make it to our pottery class"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Twist,twist.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Twist | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""No Gods. No Masters..."" | Scene/backdrop: subtle environment hint inspired by: ""No Gods. No Masters..."" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Listener,listener.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Listener | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Thieves | Scene/backdrop: subtle environment hint matching Thieves, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Watcher,watcher.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Watcher | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Thieves | Scene/backdrop: subtle environment hint matching Thieves, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Albert,albert.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Albert | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Thieves | Scene/backdrop: subtle environment hint matching Thieves, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Ogglethorpe,ogglethorpe.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Ogglethorpe | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Gnome aligned with Thieves | Scene/backdrop: subtle environment hint matching Thieves, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Gunsmith,gunsmith.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Gunsmith | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Dwarf aligned with Thieves | Scene/backdrop: subtle environment hint matching Thieves, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Slum Dweller,slum-dweller.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Slum Dweller | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""Pests and Chests, you are the most dangerous hypocrites I have ever met"" - Twist | Scene/backdrop: subtle environment hint inspired by: ""Pests and Chests, you are the most dangerous hypocrites I have ever met"" - Twist | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Thief,thief.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Thief | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""I know this city"" - Twist | Scene/backdrop: subtle environment hint inspired by: ""I know this city"" - Twist | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
The Warden,the-warden.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of The Warden | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""They always return to the scene of the crime"" | Scene/backdrop: subtle environment hint inspired by: ""They always return to the scene of the crime"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Praxis,praxis.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Praxis | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Medicarium | Scene/backdrop: subtle environment hint matching Medicarium, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Biddimim,biddimim.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Biddimim | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""We're simply waiting here for the darkness to consume us all"" | Scene/backdrop: subtle environment hint inspired by: ""We're simply waiting here for the darkness to consume us all"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Father Sentar,father-sentar.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Father Sentar | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Even the the effects of a True Sight spell fail to reveal the true form of the Church of the Self's leader | Scene/backdrop: subtle environment hint inspired by: Even the the effects of a True Sight spell fail to reveal the true form of the Church of the Self's leader | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Marcotte,marcotte.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Marcotte | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Medicarium | Scene/backdrop: subtle environment hint matching Medicarium, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Catherine,catherine.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Catherine | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Medicarium | Scene/backdrop: subtle environment hint matching Medicarium, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Death,death.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Death | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""This man kept me imprisoned, I will make his death complete"" | Scene/backdrop: subtle environment hint inspired by: ""This man kept me imprisoned, I will make his death complete"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
"Abaddon, False Cleric",abaddon-false-cleric.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Abaddon, False Cleric | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""What's an illusionist?"" | Scene/backdrop: subtle environment hint inspired by: ""What's an illusionist?"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Sir Damien,sir-damien.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Sir Damien | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""Paladins can choose!"" | Scene/backdrop: subtle environment hint inspired by: ""Paladins can choose!"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Lights Intent Officer,lights-intent-officer.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Lights Intent Officer | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Medicarium | Scene/backdrop: subtle environment hint matching Medicarium, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Medicarium Cleric,medicarium-cleric.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Medicarium Cleric | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Human aligned with Medicarium | Scene/backdrop: subtle environment hint matching Medicarium, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Alieah,alieah.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Alieah | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""I just want to be left alone"" | Scene/backdrop: subtle environment hint inspired by: ""I just want to be left alone"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Asmodeus,asmodeus.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Asmodeus | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Demon aligned with Septarchy | Scene/backdrop: subtle environment hint matching Septarchy, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Vainglory,vainglory.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Vainglory | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""This is all Bullshit"" | Scene/backdrop: subtle environment hint inspired by: ""This is all Bullshit"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Lilith,lilith.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Lilith | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""We're friends, aren't we Pests and Chests?"" | Scene/backdrop: subtle environment hint inspired by: ""We're friends, aren't we Pests and Chests?"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Belthagor,belthagor.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Belthagor | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Demon aligned with Septarchy | Scene/backdrop: subtle environment hint matching Septarchy, but keep the character as the focus | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Jerris,jerris.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Jerris | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""Would any of you like to duel?"" | Scene/backdrop: subtle environment hint inspired by: ""Would any of you like to duel?"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
